Date,Open,High,Low,Close,Volume
12/31/2024,"316.96","317.91","285.01","289.62","22,486,109"
12/30/2024,"319.40","320.01","301.75","302.96","25,771,230"
12/27/2024,"342.30","342.71","323.20","330.00","13,778,470"
12/26/2024,"350.31","351.80","340.00","341.05","13,295,120"
12/24/2024,"343.50","361.00","342.70","358.18","16,377,780"
12/23/2024,"358.00","359.74","329.08","332.23","21,742,490"
12/20/2024,"319.37","364.88","317.00","364.20","44,889,879"
12/19/2024,"365.44","367.50","323.48","326.46","26,922,881"
12/18/2024,"386.00","390.32","338.00","349.64","24,422,920"
12/17/2024,"413.45","415.68","386.01","386.42","21,821,971"
12/16/2024,"424.87","437.61","406.46","408.50","31,099,439"
12/13/2024,"400.07","409.71","388.88","408.67","21,536,881"
12/12/2024,"413.71","415.80","386.11","392.19","21,074,260"
12/11/2024,"385.66","412.68","385.50","411.40","27,594,369"
12/10/2024,"373.37","379.80","356.05","377.32","20,139,881"
12/09/2024,"394.00","399.80","363.44","365.34","22,606,090"
12/06/2024,"395.29","405.00","384.02","395.01","26,206,160"
12/05/2024,"440.12","444.94","379.35","386.40","46,189,809"
12/04/2024,"380.00","409.97","365.60","406.00","29,862,189"
12/03/2024,"367.85","393.12","362.67","373.43","22,817,461"
12/02/2024,"393.64","398.79","374.36","380.30","23,404,301"
11/29/2024,"405.75","417.62","381.00","387.47","21,987,619"
11/27/2024,"384.29","397.66","372.50","388.84","34,921,207"
11/26/2024,"382.78","403.00","338.67","353.69","47,891,000"
11/25/2024,"440.75","440.75","383.80","403.45","40,180,422"
11/22/2024,"403.60","453.00","393.10","421.88","55,935,008"
11/21/2024,"535.63","543.00","371.84","397.28","100,444,000"
11/20/2024,"463.40","504.83","457.30","473.83","70,212,633"
11/19/2024,"389.50","449.00","381.00","430.54","50,954,500"
11/18/2024,"345.42","388.49","339.38","384.79","32,745,920"
11/15/2024,"336.60","349.94","324.10","340.65","25,841,971"
11/14/2024,"341.77","348.00","318.62","327.67","26,605,689"
11/13/2024,"366.98","383.40","321.70","328.38","46,238,500"
11/12/2024,"334.77","360.89","325.50","356.59","39,705,754"
11/11/2024,"297.00","351.73","293.30","340.00","47,315,727"
11/08/2024,"275.58","279.38","262.60","270.42","18,764,221"
11/07/2024,"256.80","280.80","252.70","270.81","23,931,689"
11/06/2024,"260.00","261.20","242.69","257.81","26,270,430"
11/05/2024,"233.34","243.46","225.43","227.80","17,993,881"
11/04/2024,"226.97","231.68","220.82","222.99","13,438,760"
11/01/2024,"245.33","255.75","225.93","229.71","26,258,859"
10/31/2024,"251.12","252.88","237.00","244.50","21,954,119"
10/30/2024,"246.50","255.80","239.00","247.31","20,593,320"
10/29/2024,"264.25","267.89","251.24","258.24","25,958,551"
10/28/2024,"244.64","259.50","242.77","255.34","23,181,971"
10/25/2024,"236.39","245.57","227.75","234.34","25,093,211"
10/24/2024,"220.09","236.29","218.25","235.89","23,221,551"
10/23/2024,"215.08","222.85","204.91","213.95","17,025,500"
10/22/2024,"216.21","221.40","212.08","219.70","13,758,060"
10/21/2024,"214.49","223.15","208.45","219.05","18,028,631"
10/18/2024,"197.59","218.65","197.10","215.86","22,814,820"
10/17/2024,"192.80","198.88","185.81","193.42","11,414,280"
10/16/2024,"199.90","200.62","191.96","194.09","12,434,580"
10/15/2024,"206.73","211.16","189.70","194.31","23,114,600"
10/14/2024,"224.48","227.15","201.43","201.67","31,736,609"
10/11/2024,"188.50","212.81","187.41","212.59","29,933,779"
10/10/2024,"191.89","192.20","178.00","183.34","15,937,520"
10/09/2024,"189.77","198.39","185.25","188.91","13,445,320"
10/08/2024,"186.10","198.49","184.45","192.20","20,984,760"
10/07/2024,"179.71","191.99","178.80","186.09","19,825,949"
10/04/2024,"166.72","176.55","163.97","176.51","14,069,710"
10/03/2024,"163.39","165.86","157.82","163.41","8,814,224"
10/02/2024,"160.51","173.88","159.16","164.64","12,557,460"
10/01/2024,"168.52","169.43","157.02","162.69","14,103,320"
09/30/2024,"168.63","175.51","167.31","168.60","13,443,440"
09/27/2024,"170.48","179.60","168.31","176.22","17,321,180"
09/26/2024,"157.63","167.51","156.38","165.98","17,068,471"
09/25/2024,"152.30","157.88","151.50","151.94","7,839,376"
09/24/2024,"150.16","154.33","146.71","153.88","9,365,235"
09/23/2024,"147.48","151.59","145.01","149.97","10,090,260"
09/20/2024,"144.39","148.03","141.64","144.78","12,332,320"
09/19/2024,"140.45","148.96","139.62","144.66","20,177,340"
09/18/2024,"130.44","139.49","128.51","132.67","16,345,620"
09/17/2024,"138.37","140.16","128.82","131.27","21,043,391"
09/16/2024,"137.02","137.88","132.67","134.53","8,765,884"
09/13/2024,"131.10","143.00","129.84","141.47","12,239,120"
09/12/2024,"129.00","134.10","127.27","130.77","6,052,392"
09/11/2024,"124.81","131.00","121.30","129.28","8,731,203"
09/10/2024,"123.00","129.82","121.55","129.64","7,738,025"
09/09/2024,"118.93","125.23","117.50","124.82","9,771,186"
09/06/2024,"122.93","124.69","113.69","114.30","8,795,527"
09/05/2024,"122.35","126.83","119.43","119.57","6,066,645"
09/04/2024,"120.25","125.98","117.94","124.85","8,191,094"
09/03/2024,"132.00","132.73","122.19","122.32","8,227,430"
08/30/2024,"134.00","135.25","128.30","132.42","7,802,999"
08/29/2024,"137.00","139.43","131.00","132.56","8,431,380"
08/28/2024,"138.16","138.40","130.73","132.09","8,860,102"
08/27/2024,"144.48","145.24","138.19","140.01","10,943,130"
08/26/2024,"148.12","152.35","146.60","146.90","10,418,750"
08/23/2024,"137.40","151.81","135.51","150.01","17,791,301"
08/22/2024,"141.39","141.78","133.69","133.81","7,963,436"
08/21/2024,"134.34","142.58","132.87","141.42","11,774,540"
08/20/2024,"139.74","141.36","130.63","133.69","11,274,580"
08/19/2024,"133.70","137.44","131.16","135.35","6,595,737"
08/16/2024,"133.25","136.32","126.59","133.04","11,360,410"
08/15/2024,"132.70","139.00","130.73","131.93","10,856,850"
08/14/2024,"136.37","137.40","129.33","130.37","8,535,928"
08/13/2024,"132.28","140.00","130.26","135.38","8,123,111"
08/12/2024,"133.49","139.21","129.22","131.46","6,932,336"
08/09/2024,"135.89","136.69","129.55","135.37","7,330,433"
08/08/2024,"130.23","136.76","128.06","135.99","10,378,310"
08/07/2024,"140.88","142.16","124.01","124.69","10,933,850"
08/06/2024,"132.60","139.49","126.22","136.92","12,260,230"
08/05/2024,"105.17","135.43","102.40","130.90","22,677,550"
08/02/2024,"148.58","159.14","141.71","144.80","14,126,190"
08/01/2024,"161.50","163.44","148.20","151.18","11,930,000"
07/31/2024,"164.60","168.50","160.86","161.44","7,533,810"
07/30/2024,"168.80","169.50","159.25","160.41","9,154,800"
07/29/2024,"182.00","183.70","167.13","168.49","12,801,620"
07/26/2024,"170.00","177.70","168.60","175.27","14,137,670"
07/25/2024,"161.65","167.79","150.77","160.65","14,772,330"
07/24/2024,"175.00","176.95","166.70","167.27","13,773,770"
07/23/2024,"176.40","179.80","171.50","172.18","10,746,610"
07/22/2024,"178.40","181.07","173.61","180.01","15,391,120"
07/19/2024,"157.34","178.50","156.50","177.85","20,458,260"
07/18/2024,"163.39","163.70","151.63","155.52","10,236,330"
07/17/2024,"161.10","167.41","153.00","159.00","17,211,670"
07/16/2024,"161.50","167.58","157.64","166.43","15,809,620"
07/15/2024,"152.40","163.90","149.24","161.13","24,670,830"
07/12/2024,"133.92","143.54","132.42","139.68","10,640,830"
07/11/2024,"139.60","143.20","132.92","135.86","13,548,930"
