Date,Open,High,Low,Close,Volume
12/31/2024,"22.53","22.69","22.04","22.20","2,743,782"
12/30/2024,"22.11","22.61","21.75","22.46","3,001,612"
12/27/2024,"22.65","22.71","22.05","22.45","3,309,701"
12/26/2024,"22.55","22.99","22.34","22.84","2,379,123"
12/24/2024,"22.41","22.72","22.27","22.69","1,525,538"
12/23/2024,"22.52","22.58","22.16","22.43","3,081,734"
12/20/2024,"21.71","22.48","21.55","22.43","11,424,450"
12/19/2024,"23.25","23.37","22.20","22.33","6,056,080"
12/18/2024,"23.91","23.91","21.91","22.05","6,173,255"
12/17/2024,"24.08","24.20","23.45","23.92","4,314,027"
12/16/2024,"23.87","24.22","23.51","24.21","4,807,746"
12/13/2024,"23.92","24.04","23.40","23.91","4,701,534"
12/12/2024,"23.41","24.08","23.22","24.02","5,602,536"
12/11/2024,"23.50","23.84","23.03","23.57","6,129,034"
12/10/2024,"24.50","24.84","23.39","23.61","5,643,597"
12/09/2024,"25.85","25.91","24.52","24.67","6,923,369"
12/06/2024,"25.04","26.00","24.86","25.78","9,144,077"
12/05/2024,"24.99","26.64","24.48","24.89","23,828,660"
12/04/2024,"28.26","29.06","27.83","28.68","14,901,040"
12/03/2024,"27.03","27.66","26.84","27.55","4,068,854"
12/02/2024,"27.25","27.77","26.75","27.43","5,189,765"
11/29/2024,"28.45","28.75","27.93","27.95","2,189,589"
11/27/2024,"28.52","28.65","27.25","28.08","4,647,127"
11/26/2024,"28.44","28.56","27.61","27.93","4,108,711"
11/25/2024,"29.00","29.29","27.77","27.88","3,670,537"
11/22/2024,"28.30","28.78","28.29","28.54","2,910,642"
11/21/2024,"27.56","28.41","27.36","28.13","3,100,131"
11/20/2024,"27.82","27.86","26.79","27.07","2,844,103"
11/19/2024,"26.23","27.66","26.23","27.62","2,609,842"
11/18/2024,"26.20","26.46","25.82","26.43","2,201,671"
11/15/2024,"26.56","26.81","25.95","26.11","4,284,247"
11/14/2024,"27.75","27.91","27.21","27.36","3,214,155"
11/13/2024,"27.87","28.42","27.66","27.68","5,092,778"
11/12/2024,"27.94","28.07","27.21","27.71","4,291,891"
11/11/2024,"27.90","28.12","27.13","27.18","3,567,894"
11/08/2024,"27.72","27.85","27.13","27.57","3,415,662"
11/07/2024,"27.54","27.99","27.39","27.91","3,876,045"
11/06/2024,"26.31","27.38","26.25","27.33","4,282,876"
11/05/2024,"25.50","25.81","25.34","25.75","3,159,566"
11/04/2024,"25.90","25.96","25.32","25.47","2,366,708"
11/01/2024,"25.99","26.27","25.77","26.01","2,189,957"
10/31/2024,"26.37","26.57","25.68","25.79","2,241,309"
10/30/2024,"26.57","27.39","26.36","26.47","2,842,855"
10/29/2024,"26.14","26.55","25.81","26.54","3,375,500"
10/28/2024,"26.56","26.69","26.03","26.09","2,728,248"
10/25/2024,"26.13","26.56","26.01","26.26","3,108,772"
10/24/2024,"25.48","26.16","25.40","25.97","2,990,509"
10/23/2024,"25.75","25.82","24.85","25.28","4,599,190"
10/22/2024,"26.45","26.75","25.82","25.89","3,305,320"
10/21/2024,"26.41","27.25","26.20","26.64","4,301,408"
10/18/2024,"26.57","26.96","26.30","26.36","4,790,818"
10/17/2024,"26.50","26.79","25.73","26.02","5,337,352"
10/16/2024,"25.76","26.03","24.65","25.99","5,077,608"
10/15/2024,"26.40","26.42","25.59","25.71","7,477,322"
10/14/2024,"27.12","27.12","26.00","26.41","5,190,314"
10/11/2024,"25.78","26.22","25.63","25.71","3,229,359"
10/10/2024,"24.55","25.86","24.46","25.85","3,896,872"
10/09/2024,"24.60","25.77","24.46","25.11","4,449,645"
10/08/2024,"23.49","24.72","23.38","24.64","3,645,543"
10/07/2024,"24.07","24.09","23.08","23.22","3,042,005"
10/04/2024,"23.42","24.15","23.03","24.15","2,653,418"
10/03/2024,"23.05","23.27","22.90","22.98","2,755,693"
10/02/2024,"22.90","23.45","22.88","23.29","2,058,012"
10/01/2024,"23.95","24.01","22.85","22.88","4,195,544"
09/30/2024,"23.93","24.18","23.69","23.92","2,541,680"
09/27/2024,"24.00","24.13","23.75","24.08","1,998,089"
09/26/2024,"24.60","24.70","23.52","23.96","3,083,280"
09/25/2024,"24.20","24.32","23.86","24.12","2,813,110"
09/24/2024,"24.37","24.41","24.00","24.25","2,468,684"
09/23/2024,"24.52","24.60","24.14","24.29","2,662,841"
09/20/2024,"24.97","25.15","24.08","24.40","8,561,466"
09/19/2024,"24.99","25.54","24.67","25.09","4,970,772"
09/18/2024,"25.10","25.19","24.05","24.29","4,651,335"
09/17/2024,"23.50","24.94","23.48","24.93","10,671,920"
09/16/2024,"22.63","23.40","22.55","23.20","4,188,405"
09/13/2024,"22.26","22.88","22.19","22.68","4,090,706"
09/12/2024,"22.03","22.60","21.82","22.16","5,676,455"
09/11/2024,"21.29","22.19","21.06","21.91","4,567,414"
09/10/2024,"21.90","21.97","21.40","21.64","3,122,546"
09/09/2024,"22.35","22.60","21.69","21.79","2,918,876"
09/06/2024,"22.69","23.10","21.94","22.01","3,884,773"
09/05/2024,"22.88","23.19","22.74","22.84","2,721,773"
09/04/2024,"22.44","23.81","22.41","23.11","4,848,188"
09/03/2024,"23.27","23.78","22.57","22.88","5,541,100"
08/30/2024,"24.54","24.74","23.20","23.56","6,371,379"
08/29/2024,"24.49","25.65","24.24","24.26","7,512,083"
08/28/2024,"26.00","26.62","24.00","24.43","12,893,410"
08/27/2024,"24.64","25.02","24.53","24.75","9,357,759"
08/26/2024,"25.37","25.40","24.80","24.89","6,503,009"
08/23/2024,"24.86","25.37","24.65","25.26","5,274,710"
08/22/2024,"25.53","25.53","24.49","24.56","6,324,207"
08/21/2024,"24.16","24.59","23.91","24.56","3,851,259"
08/20/2024,"23.82","24.16","23.59","24.00","4,154,435"
08/19/2024,"23.17","23.80","23.01","23.75","3,012,009"
08/16/2024,"23.06","23.37","22.73","23.17","4,109,106"
08/15/2024,"23.11","23.43","22.95","23.16","2,928,612"
08/14/2024,"22.40","22.84","22.07","22.79","3,434,592"
08/13/2024,"21.36","22.43","21.05","22.35","3,597,677"
08/12/2024,"21.83","22.12","21.18","21.22","2,801,582"
08/09/2024,"21.41","21.90","21.20","21.79","4,808,976"
08/08/2024,"20.95","21.50","20.52","21.34","3,054,976"
08/07/2024,"21.15","21.85","20.55","20.56","3,129,964"
08/06/2024,"20.44","20.86","20.18","20.71","3,778,213"
08/05/2024,"18.80","21.04","18.80","20.43","5,312,762"
08/02/2024,"20.83","21.22","19.94","21.12","4,540,961"
08/01/2024,"22.90","23.12","21.50","21.63","5,016,846"
07/31/2024,"22.95","23.40","22.56","22.90","4,468,167"
07/30/2024,"22.84","23.07","22.11","22.55","4,738,075"
07/29/2024,"23.26","23.40","22.32","22.61","5,058,330"
07/26/2024,"23.39","23.45","22.19","23.04","7,235,494"
07/25/2024,"23.51","24.21","23.02","23.11","7,823,287"
07/24/2024,"24.26","24.64","23.39","23.41","10,746,490"
