Date,4 WEEKS COUPON EQUIVALENT,8 WEEKS COUPON EQUIVALENT,13 WEEKS COUPON EQUIVALENT,17 WEEKS COUPON EQUIVALENT,26 WEEKS COUPON EQUIVALENT,52 WEEKS COUPON EQUIVALENT
2024-01-02,5.39,5.41,5.38,5.39,5.26,4.81
2024-01-03,5.38,5.41,5.4,5.39,5.28,4.82
2024-01-04,5.4,5.41,5.4,5.39,5.28,4.85
2024-01-05,5.39,5.4,5.4,5.38,5.27,4.85
2024-01-08,5.39,5.41,5.41,5.37,5.26,4.83
2024-01-09,5.39,5.39,5.4,5.37,5.26,4.84
2024-01-10,5.38,5.39,5.39,5.37,5.26,4.84
2024-01-11,5.39,5.4,5.39,5.36,5.25,4.77
2024-01-12,5.39,5.4,5.37,5.35,5.19,4.67
2024-01-16,5.4,5.41,5.38,5.36,5.2,4.74
2024-01-17,5.4,5.4,5.4,5.37,5.23,4.83
2024-01-18,5.37,5.41,5.38,5.36,5.23,4.84
2024-01-19,5.39,5.4,5.37,5.37,5.24,4.88
2024-01-22,5.38,5.4,5.38,5.37,5.24,4.87
2024-01-23,5.39,5.39,5.37,5.37,5.24,4.81
2024-01-24,5.38,5.38,5.37,5.37,5.25,4.82
2024-01-25,5.39,5.41,5.37,5.36,5.21,4.76
2024-01-26,5.38,5.38,5.36,5.36,5.22,4.78
2024-01-29,5.38,5.4,5.38,5.36,5.2,4.77
2024-01-30,5.38,5.4,5.37,5.37,5.22,4.8
2024-01-31,5.38,5.4,5.38,5.35,5.22,4.73
2024-02-01,5.39,5.41,5.38,5.33,5.18,4.69
2024-02-02,5.39,5.4,5.39,5.37,5.24,4.82
2024-02-05,5.39,5.4,5.38,5.37,5.27,4.88
2024-02-06,5.38,5.41,5.39,5.37,5.26,4.84
2024-02-07,5.37,5.4,5.39,5.35,5.26,4.85
2024-02-08,5.39,5.4,5.39,5.37,5.27,4.85
2024-02-09,5.39,5.4,5.4,5.38,5.29,4.87
2024-02-12,5.39,5.41,5.39,5.38,5.29,4.89
2024-02-13,5.38,5.42,5.41,5.41,5.34,5.01
2024-02-14,5.39,5.41,5.39,5.4,5.33,4.97
2024-02-15,5.39,5.4,5.39,5.39,5.33,4.96
2024-02-16,5.39,5.4,5.39,5.4,5.34,5.0
2024-02-20,5.4,5.39,5.4,5.4,5.34,4.97
2024-02-21,5.4,5.4,5.4,5.4,5.34,4.98
2024-02-22,5.39,5.41,5.41,5.39,5.35,5.01
2024-02-23,5.4,5.41,5.42,5.41,5.35,5.0
2024-02-26,5.4,5.42,5.4,5.42,5.35,5.03
2024-02-27,5.41,5.42,5.39,5.42,5.34,5.04
2024-02-28,5.4,5.42,5.38,5.39,5.32,5.01
2024-02-29,5.4,5.41,5.39,5.4,5.32,5.02
2024-03-01,5.4,5.41,5.37,5.37,5.29,4.95
2024-03-04,5.38,5.4,5.38,5.39,5.32,4.99
2024-03-05,5.36,5.39,5.37,5.37,5.31,4.96
2024-03-06,5.36,5.39,5.38,5.36,5.31,4.97
2024-03-07,5.38,5.4,5.38,5.36,5.3,4.95
